Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,43.5,-146.21,0.0,top
C2,100nF,C_0805_2012Metric,43.5,-148.36,0.0,top
C3,100nF,C_0805_2012Metric,113.97,-153.11,-90.0,top
D1,LED0603,LED_0603_1608Metric,113.25,-127.71,0.0,top
D10,LED0603,LED_0603_1608Metric,113.25,-143.91,0.0,top
D100,LED0603,LED_0603_1608Metric,89.25,-133.11,0.0,top
D101,LED0603,LED_0603_1608Metric,89.25,-134.91,0.0,top
D102,LED0603,LED_0603_1608Metric,89.25,-136.71,0.0,top
D103,LED0603,LED_0603_1608Metric,89.25,-138.51,0.0,top
D104,LED0603,LED_0603_1608Metric,89.25,-140.31,0.0,top
D105,LED0603,LED_0603_1608Metric,89.25,-142.11,0.0,top
D106,LED0603,LED_0603_1608Metric,89.25,-143.91,0.0,top
D107,LED0603,LED_0603_1608Metric,89.25,-145.71,0.0,top
D108,LED0603,LED_0603_1608Metric,89.25,-147.51,0.0,top
D109,LED0603,LED_0603_1608Metric,86.25,-127.71,0.0,top
D11,LED0603,LED_0603_1608Metric,113.25,-145.71,0.0,top
D110,LED0603,LED_0603_1608Metric,86.25,-129.51,0.0,top
D111,LED0603,LED_0603_1608Metric,86.25,-131.31,0.0,top
D112,LED0603,LED_0603_1608Metric,86.25,-133.11,0.0,top
D113,LED0603,LED_0603_1608Metric,86.25,-134.91,0.0,top
D114,LED0603,LED_0603_1608Metric,86.25,-136.71,0.0,top
D115,LED0603,LED_0603_1608Metric,86.25,-138.51,0.0,top
D116,LED0603,LED_0603_1608Metric,86.25,-140.31,0.0,top
D117,LED0603,LED_0603_1608Metric,86.25,-142.11,0.0,top
D118,LED0603,LED_0603_1608Metric,86.25,-143.91,0.0,top
D119,LED0603,LED_0603_1608Metric,86.25,-145.71,0.0,top
D12,LED0603,LED_0603_1608Metric,113.25,-147.51,0.0,top
D120,LED0603,LED_0603_1608Metric,86.25,-147.51,0.0,top
D121,LED0603,LED_0603_1608Metric,83.25,-127.71,0.0,top
D122,LED0603,LED_0603_1608Metric,83.25,-129.51,0.0,top
D123,LED0603,LED_0603_1608Metric,83.25,-131.31,0.0,top
D124,LED0603,LED_0603_1608Metric,83.25,-133.11,0.0,top
D125,LED0603,LED_0603_1608Metric,83.25,-134.91,0.0,top
D126,LED0603,LED_0603_1608Metric,83.25,-136.71,0.0,top
D127,LED0603,LED_0603_1608Metric,83.25,-138.51,0.0,top
D128,LED0603,LED_0603_1608Metric,83.25,-140.31,0.0,top
D129,LED0603,LED_0603_1608Metric,83.25,-142.11,0.0,top
D13,LED0603,LED_0603_1608Metric,110.25,-127.71,0.0,top
D130,LED0603,LED_0603_1608Metric,83.25,-143.91,0.0,top
D131,LED0603,LED_0603_1608Metric,83.25,-145.71,0.0,top
D132,LED0603,LED_0603_1608Metric,83.25,-147.51,0.0,top
D133,LED0603,LED_0603_1608Metric,80.25,-127.71,0.0,top
D134,LED0603,LED_0603_1608Metric,80.25,-129.51,0.0,top
D135,LED0603,LED_0603_1608Metric,80.25,-131.31,0.0,top
D136,LED0603,LED_0603_1608Metric,80.25,-133.11,0.0,top
D137,LED0603,LED_0603_1608Metric,80.25,-134.91,0.0,top
D138,LED0603,LED_0603_1608Metric,80.25,-136.71,0.0,top
D139,LED0603,LED_0603_1608Metric,80.25,-138.51,0.0,top
D14,LED0603,LED_0603_1608Metric,110.25,-129.51,0.0,top
D140,LED0603,LED_0603_1608Metric,80.25,-140.31,0.0,top
D141,LED0603,LED_0603_1608Metric,80.25,-142.11,0.0,top
D142,LED0603,LED_0603_1608Metric,80.25,-143.91,0.0,top
D143,LED0603,LED_0603_1608Metric,80.25,-145.71,0.0,top
D144,LED0603,LED_0603_1608Metric,80.25,-147.51,0.0,top
D145,LED0603,LED_0603_1608Metric,77.25,-127.71,0.0,top
D146,LED0603,LED_0603_1608Metric,77.25,-129.51,0.0,top
D147,LED0603,LED_0603_1608Metric,77.25,-131.31,0.0,top
