Comment,Designator,Footprint,LCSC,Quantity
5R,"R4,R8",R_0805_2012Metric,C113035,2
100K,"R1,R10,R12,R5",R_0805_2012Metric,C149504,4
1.8M,"R2,R3,R6,R7",R_0805_2012Metric,C2930213,4
120R,R13,R_0805_2012Metric,C3013232,1
1.1M,"R11,R9",R_0805_2012Metric,C308358,2
1uF,"C1,C2",C_0805_2012Metric,C326587,2
TJA1051T-3,U2,SOIC-8_3.9x4.9mm_P1.27mm,C38695,1
100nF,"C3,C4,C5",C_0805_2012Metric,C49678,3
BLM21RK102SN1D,"FB1,FB2",L_0805_2012Metric,C498363,2
MCP6022,U1,SOIC127P599X175-8N,C57639,1
DE9_Pins_MountingHoles,J3,DSUB-9_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm,,1
SW_Push_DPDT,SW2,SW_SLW-913535-2A-SMT,,1
Conn_01x10_Pin,J5,PinHeader_1x10_P2.54mm_Horizontal,,1
Conn_01x08_Pin,J4,PinHeader_1x08_P2.54mm_Horizontal,,1
Conn_Coaxial,J2,TE_5415218-5,,1
Conn_Coaxial,J1,TE_5415218-5,,1
SW_Push_DPDT,SW1,SW_SLW-913535-2A-SMT,,1
