Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,55.5775,-136.5,180.0,top
C2,1uF,C_0805_2012Metric,84.22,-136.5,180.0,top
C3,100nF,C_0805_2012Metric,69.765,-135.28,0.0,top
C4,100nF,C_0805_2012Metric,96.605,-144.1775,180.0,top
C5,100nF,C_0805_2012Metric,100.215,-144.195,180.0,top
FB1,BLM21RK102SN1D,L_0805_2012Metric,52.13,-132.47,0.0,top
FB2,BLM21RK102SN1D,L_0805_2012Metric,80.8,-132.47,0.0,top
J1,Conn_Coaxial,TE_5415218-5,51.18,-125.33,180.0,top
J2,Conn_Coaxial,TE_5415218-5,79.8,-125.33,180.0,top
J3,DE9_Pins_MountingHoles,DSUB-9_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm,110.45,-132.04,180.0,top
J4,Conn_01x08_Pin,PinHeader_1x08_P2.54mm_Horizontal,68.42,-151.0,-90.0,top
J5,Conn_01x10_Pin,PinHeader_1x10_P2.54mm_Horizontal,98.9,-151.0,-90.0,top
R1,100K,R_0805_2012Metric,55.565,-134.4,180.0,top
R10,100K,R_0805_2012Metric,52.065,-136.475,0.0,top
R11,1.1M,R_0805_2012Metric,80.7325,-134.4,180.0,top
R12,100K,R_0805_2012Metric,80.7325,-136.475,0.0,top
R13,120R,R_0805_2012Metric,103.525,-140.285,90.0,top
R2,1.8M,R_0805_2012Metric,45.37,-145.85,-90.0,top
R3,1.8M,R_0805_2012Metric,47.42,-145.8425,90.0,top
R4,5R,R_0805_2012Metric,65.74,-143.205,180.0,top
R5,100K,R_0805_2012Metric,84.2075,-134.4,180.0,top
R6,1.8M,R_0805_2012Metric,73.82,-145.84,-90.0,top
R7,1.8M,R_0805_2012Metric,75.845,-145.8225,90.0,top
R8,5R,R_0805_2012Metric,69.8275,-143.23,180.0,top
R9,1.1M,R_0805_2012Metric,52.065,-134.4,180.0,top
SW1,SW_Push_DPDT,SW_SLW-913535-2A-SMT,53.68,-143.4725,180.0,top
SW2,SW_Push_DPDT,SW_SLW-913535-2A-SMT,82.55,-143.4725,180.0,top
U1,MCP6022,SOIC127P599X175-8N,67.7725,-139.2,0.0,top
U2,TJA1051T-3,SOIC-8_3.9x4.9mm_P1.27mm,98.69,-140.29,0.0,top
