Comment,Designator,Footprint,LCSC,Quantity
220R,"R13,R8",R_0805_2012Metric,C114519,2
PCA9536D,U1,SOIC-8_3.9x4.9mm_P1.27mm,C129522,1
0R,,R_0805_2012Metric,C17477,0
330R,"R5,R6,R7",R_0805_2012Metric,C17630,3
200R,"R1,R2,R3,R4",R_0805_2012Metric,C2889551,4
5749266-1,"J2,J3",57492661,C3275792,2
100nF,C1,C_0805_2012Metric,C49678,1
L77HDE15SD1CH4FVGA,J1,AMPHENOL_L77HDE15SD1CH4FVGA,C5428609,1
10K,"R10,R11,R12,R9",R_0805_2012Metric,C84376,4
Conn_01x10_Pin,J4,PinHeader_1x10_P2.54mm_Horizontal,,1
Conn_01x08_Pin,J5,PinHeader_1x08_P2.54mm_Horizontal,,1
