Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric,114.66,-151.27,-90.0,top
J1,L77HDE15SD1CH4FVGA,AMPHENOL_L77HDE15SD1CH4FVGA,61.77,-138.34,180.0,top
J2,5749266-1,57492661,116.22,-134.2985,180.0,top
J3,5749266-1,57492661,94.34,-134.2985,180.0,top
J4,Conn_01x10_Pin,PinHeader_1x10_P2.54mm_Horizontal,98.9,-151.0,-90.0,top
J5,Conn_01x08_Pin,PinHeader_1x08_P2.54mm_Horizontal,68.42,-151.0,-90.0,top
R1,200R,R_0805_2012Metric,124.45,-151.2675,90.0,top
R10,10K,R_0805_2012Metric,126.54,-147.7325,-90.0,top
R11,10K,R_0805_2012Metric,121.5975,-144.57,180.0,top
R12,10K,R_0805_2012Metric,117.5575,-144.56,180.0,top
R13,220R,R_0805_2012Metric,61.99,-147.2675,-90.0,top
R14,0R,R_0805_2012Metric,77.29,-147.2675,-90.0,top
R2,200R,R_0805_2012Metric,124.46,-147.725,90.0,top
R3,200R,R_0805_2012Metric,121.57,-146.61,0.0,top
R4,200R,R_0805_2012Metric,117.5575,-146.61,0.0,top
R5,330R,R_0805_2012Metric,64.58,-147.2675,90.0,top
R6,330R,R_0805_2012Metric,67.15,-147.2675,90.0,top
R7,330R,R_0805_2012Metric,69.7,-147.2675,90.0,top
R8,220R,R_0805_2012Metric,72.26,-147.2675,-90.0,top
R9,10K,R_0805_2012Metric,126.55,-151.2775,-90.0,top
U1,PCA9536D,SOIC-8_3.9x4.9mm_P1.27mm,119.58,-150.495,180.0,top
