Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric,48.32,-152.88,0.0,top
C2,100nF,C_0805_2012Metric,121.23,-152.88,0.0,top
D1,WS2812,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,48.27,-141.74,0.0,top
D2,WS2812,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,48.27,-148.36,0.0,top
D3,WS2812,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,121.24,-141.76,0.0,top
D4,WS2812,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,121.24,-148.38,0.0,top
J1,Conn_02x03,PinHeader_2x03_P2.54mm_Vertical,59.995,-142.41,0.0,top
J10,Conn_01x08_Pin,PinHeader_1x08_P2.54mm_Horizontal,68.42,-151.0,-90.0,top
J2,Conn_02x03,PinHeader_2x03_P2.54mm_Vertical,67.135,-142.41,0.0,top
J3,Conn_02x03,PinHeader_2x03_P2.54mm_Vertical,74.275,-142.41,0.0,top
J4,Conn_02x03,PinHeader_2x03_P2.54mm_Vertical,81.415,-142.41,0.0,top
J5,Conn_02x03,PinHeader_2x03_P2.54mm_Vertical,88.555,-142.41,0.0,top
J6,Conn_02x03,PinHeader_2x03_P2.54mm_Vertical,95.695,-142.41,0.0,top
J7,Conn_02x03,PinHeader_2x03_P2.54mm_Vertical,102.835,-142.41,0.0,top
J8,Conn_02x03,PinHeader_2x03_P2.54mm_Vertical,109.975,-142.41,0.0,top
J9,Conn_01x10_Pin,PinHeader_1x10_P2.54mm_Horizontal,98.9,-151.0,-90.0,top
