Designator,Mid X,Mid Y,Layer,Rotation
BT1,42.00,-130.00,B,0.00
BT2,108.00,-130.00,B,0.00
C1,79.89,-116.11,B,180.00
C2,35.50,-66.90,B,0.00
C3,35.50,-68.41,B,0.00
C4,91.56,-76.45,B,0.00
C5,101.19,-88.28,B,180.00
C6,112.24,-86.83,B,270.00
C7,113.51,-50.63,B,180.00
C8,114.08,-51.90,B,180.00
C9,88.66,-101.50,B,0.00
C10,90.64,-101.67,B,270.00
C11,57.80,-74.00,B,180.00
C12,57.80,-75.00,B,180.00
C13,59.42,-47.47,B,90.00
C14,63.92,-47.62,B,270.00
C15,62.19,-92.55,B,270.00
C16,61.41,-94.78,B,180.00
C17,33.50,-65.40,B,0.00
C18,33.40,-75.30,B,90.00
C19,31.90,-75.30,B,90.00
C20,34.90,-75.30,B,90.00
C21,42.80,-81.90,B,180.00
C22,43.60,-79.60,B,270.00
C23,41.50,-41.50,B,180.00
C29,55.11,-105.54,B,0.00
C30,47.10,-57.40,B,90.00
C31,47.60,-83.80,B,270.00
C32,58.20,-83.80,B,270.00
C44,62.58,-106.71,B,270.00
C45,68.10,-164.75,B,270.00
C46,53.80,-53.20,B,180.00
C47,78.80,-164.40,B,270.00
C48,70.20,-164.60,B,180.00
C49,63.80,-167.60,B,180.00
C50,63.80,-172.00,B,180.00
C51,59.40,-70.40,B,90.00
C52,57.20,-70.40,B,90.00
D1,33.70,-62.20,B,180.00
D2,39.80,-63.10,B,0.00
D3,39.80,-64.80,B,180.00
D4,39.80,-66.50,B,0.00
D5,39.80,-68.20,B,180.00
D6,41.80,-43.50,B,180.00
D7,65.60,-165.00,B,90.00
D8,84.40,-163.75,B,270.00
D13,62.60,-102.31,B,90.00
D14,50.80,-53.20,B,0.00
D15,47.05,-165.55,T,180.00
D16,61.06,-165.55,T,180.00
D17,89.06,-165.55,T,180.00
D18,102.91,-165.55,T,180.00
D19,45.80,-111.79,T,0.00
D20,60.39,-111.79,T,0.00
D21,89.59,-111.79,T,0.00
D22,104.21,-111.79,T,0.00
F1,36.00,-85.80,B,270.00
F2,47.00,-88.50,B,270.00
FB1,40.82,-59.75,B,270.00
FB2,69.80,-163.40,B,0.00
H5,75.00,-109.50,B,0.00
J1,34.00,-55.00,B,90.00
J2,75.00,-69.21,B,0.00
J3,58.42,-37.21,B,180.00
J6,79.99,-48.68,B,180.00
J7,88.90,-37.21,B,0.00
J8,75.00,-171.00,B,0.00
J9,49.80,-71.00,B,90.00
L1,38.40,-80.10,B,180.00
L3,59.20,-103.01,B,180.00
L4,50.20,-56.60,B,90.00
LS1,93.00,-108.30,B,0.00
M1,40.10,-40.30,B,90.00
PWR_BUTTON1,118.01,-56.35,B,270.00
Q1,47.50,-170.70,B,180.00
Q2,61.00,-75.40,B,270.00
Q3,102.50,-170.60,B,0.00
Q4,38.44,-44.55,B,180.00
R1,34.80,-48.40,B,270.00
R2,62.56,-108.65,B,270.00
R3,33.80,-48.40,B,90.00
R4,55.77,-108.95,B,270.00
R5,67.03,-75.95,B,270.00
R6,66.02,-74.45,B,90.00
R7,92.30,-48.00,B,270.00
R8,93.30,-48.00,B,270.00
R9,62.40,-70.00,B,0.00
R11,73.36,-163.40,B,90.00
R12,76.86,-163.39,B,90.00
R13,55.20,-94.00,B,90.00
R14,36.00,-65.60,B,0.00
R15,42.30,-76.30,B,180.00
R17,42.00,-79.80,B,270.00
R18,91.96,-75.00,B,90.00
R19,90.47,-75.43,B,180.00
R20,100.41,-86.44,B,90.00
R21,95.84,-63.38,B,0.00
R22,97.46,-88.20,B,180.00
R23,52.80,-47.80,B,0.00
R24,108.03,-64.92,B,90.00
R25,106.76,-64.92,B,90.00
R26,96.36,-64.93,B,90.00
R27,97.63,-64.93,B,90.00
R28,98.77,-63.75,B,90.00
R29,99.77,-63.75,B,90.00
R30,102.95,-63.43,B,180.00
R31,103.20,-64.90,B,90.00
R32,93.51,-99.87,B,90.00
R33,93.51,-97.82,B,270.00
R34,56.80,-57.60,B,90.00
R35,56.80,-55.70,B,270.00
R36,61.80,-72.90,B,0.00
R37,42.00,-45.50,B,0.00
R38,65.50,-161.90,B,90.00
R39,82.99,-52.46,B,90.00
R40,83.99,-52.46,B,90.00
R41,85.73,-52.46,B,90.00
R42,86.72,-52.46,B,90.00
R43,37.40,-171.80,B,90.00
R45,45.33,-35.40,B,270.00
R46,84.44,-168.26,B,270.00
R47,86.42,-168.26,B,270.00
R48,112.70,-171.80,B,90.00
R50,66.70,-161.90,B,90.00
R53,42.01,-48.00,B,0.00
R54,38.50,-41.80,B,90.00
U1,75.00,-118.70,B,45.00
U2,38.50,-73.10,B,180.00
U3,52.90,-85.90,B,0.00
U4,103.58,-75.67,B,90.00
U5,103.23,-53.62,B,270.00
U6,90.85,-98.61,B,270.00
U7,61.63,-46.75,B,180.00
U8,60.14,-92.50,B,90.00
U9,91.31,-164.30,B,180.00
U10,58.70,-164.30,B,0.00
U11,60.96,-67.71,B,180.00
U12,67.00,-169.80,B,0.00
U14,75.00,-138.69,T,0.00
U15,59.30,-107.21,B,180.00
U16,54.40,-56.60,B,90.00
