ball,name,vendor_type,electrical_type,unit,unit_title,group,supply,source_row,correction,mux
A1,GND,G,power_in,L,Digital ground 1,Ground,N/A,392,,
A2,GND,G,power_in,L,Digital ground 1,Ground,N/A,393,,
A3,PK2,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,311,,2:MCSIA-D1N; 14:PK-EINT2
A4,PK0,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,309,,2:MCSIA-D0N; 14:PK-EINT0
A5,PH16,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,304,,3:I2S3-DOUT0; 4:I2S3-DIN1; 5:RGMII0-RXCK/RMII0-NULL; 6:CLK-FANOUT0; 14:PH-EINT16
A6,PH14,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,302,,4:I2S3-BCLK; 5:RGMII0-RXD3/RMII0-NULL; 14:PH-EINT14
A8,PH11,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,299,,2:DMIC-DATA2; 3:SPI2-MISO; 4:I2S2-DOUT0; 5:I2S2-DIN1; 6:PCIE0-PERSTN; 14:PH-EINT11
A10,PH4,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,292,,2:UART3-TX; 3:SPI1-CS0; 5:RGMII0-TXD1/RMII0-TXD1; 14:PH-EINT4
A12,PF3,I/O,bidirectional,D,GPIO B / C / F,Port F,VCC-IO/VCC-MCSI,266,,2:SDC0-CMD; 3:JTAG-DO; 5:I2S3-LRCK; 14:PF-EINT3
A14,AVSS,G,power_in,N,Analog ground,Ground,N/A,375,,
A16,PCIE-RX0-DP/USB3-RXP,AI,input,H,USB / PCIe,PCIe2.1&USB3.1 DRD,VCC18-PCIE,119,,
A18,USB0-DP,A I/O,bidirectional,H,USB / PCIe,USB2.0 DRD,VCC33-USB,102,,
A20,EDP-TX1P,AO,output,I,eDP,eDP1.3,VCC18-EDP,134,,
A22,EDP-TX3P,AO,output,I,eDP,eDP1.3,VCC18-EDP,138,,
A24,PD0,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,218,,2:LCD0-D2; 3:LVDS0-D0P; 4:DSI0-D0P; 5:PWM0-0; 14:PD-EINT0
A25,PD2,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,220,,2:LCD0-D4; 3:LVDS0-D1P; 4:DSI0-D1P; 5:PWM0-2; 14:PD-EINT2
A26,PD4,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,222,,2:LCD0-D6; 3:LVDS0-D2P; 4:DSI0-CKP; 5:PWM0-4; 14:PD-EINT4
A27,PD6,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,224,,2:LCD0-D10; 3:LVDS0-CKP; 4:DSI0-D2P; 5:PWM0-6; 14:PD-EINT6
A28,PD8,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,226,,2:LCD0-D12; 3:LVDS0-D3P; 4:DSI0-D3P; 5:PWM0-8; 14:PD-EINT8
A29,GND,G,power_in,L,Digital ground 1,Ground,N/A,394,,
B1,PK5,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,314,,2:MCSIA-CKP; 3:TWI2-SDA; 14:PK-EINT5
B2,PK4,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,313,,2:MCSIA-CKN; 3:TWI2-SCK; 14:PK-EINT4
B3,PK3,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,312,,2:MCSIA-D1P; 14:PK-EINT3
B4,PK1,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,310,,2:MCSIA-D0P; 14:PK-EINT1
B5,PH17,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,305,,3:I2S3-DOUT1; 4:I2S3-DIN0; 5:RGMII0-TXD3/RMII0-NULL; 14:PH-EINT17
B6,PH15,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,303,,4:I2S3-LRCK; 5:RGMII0-RXD2/RMII0-NULL; 14:PH-EINT15
B7,PH13,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,301,,3:TWI3-SDA; 4:I2S3-MCLK; 5:RGMII0-EPHY-25M; 14:PH-EINT13
B8,PH10,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,298,,2:DMIC-DATA1; 3:SPI2-MOSI; 4:I2S2-LRCK; 5:RGMII0-MDIO; 14:PH-EINT10
B9,PH5,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,293,,2:UART3-RX; 3:SPI1-CLK; 4:LEDC; 5:RGMII0-TXD0/RMII0-TXD0; 14:PH-EINT5
B10,PH3,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,291,,2:TWI1-SDA; 3:IR-TX; 4:I2S2-DIN2; 5:RGMII0-CLKIN/RMII0-RXER; 6:I2S2-DOUT2; 14:PH-EINT3
B11,PF5,I/O,bidirectional,D,GPIO B / C / F,Port F,VCC-IO/VCC-MCSI,268,,2:SDC0-D2; 3:JTAG-CK; 5:I2S3-BCLK; 14:PF-EINT5
B12,PF2,I/O,bidirectional,D,GPIO B / C / F,Port F,VCC-IO/VCC-MCSI,265,,2:SDC0-CLK; 3:UART0-TX; 5:I2S3-DIN2; 6:I2S3-DOUT2; 14:PF-EINT2
B13,PF1,I/O,bidirectional,D,GPIO B / C / F,Port F,VCC-IO/VCC-MCSI,264,,2:SDC0-D0; 3:JTAG-DI; 5:I2S3-DOUT0; 6:I2S3-DIN1; 14:PF-EINT1
B14,PCIE-REF-CLKP,A I/O,input,H,USB / PCIe,PCIe2.1&USB3.1 DRD,VCC18-PCIE,116,,
B15,PCIE-TX0-DP/USB3-TXP,AO,output,H,USB / PCIe,PCIe2.1&USB3.1 DRD,VCC18-PCIE,121,,
B16,PCIE-RX0-DN/USB3-RXN,AI,input,H,USB / PCIe,PCIe2.1&USB3.1 DRD,VCC18-PCIE,120,,
B17,USB2-DP,A I/O,bidirectional,H,USB / PCIe,PCIe2.1&USB3.1 DRD,VCC33-USB-2,113,Supply spelling: VCC33-UAB-2 -> VCC33-USB-2,
B18,USB0-DM,A I/O,bidirectional,H,USB / PCIe,USB2.0 DRD,VCC33-USB,103,,
B19,EDP-TX0P,AO,output,I,eDP,eDP1.3,VCC18-EDP,132,,
B20,EDP-TX1N,AO,output,I,eDP,eDP1.3,VCC18-EDP,135,,
B21,EDP-TX2P,AO,output,I,eDP,eDP1.3,VCC18-EDP,136,,
B22,EDP-TX3N,AO,output,I,eDP,eDP1.3,VCC18-EDP,139,,
B23,EDP-AUXP,A I/O,bidirectional,I,eDP,eDP1.3,VCC18-EDP,128,,
B24,PD1,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,219,,2:LCD0-D3; 3:LVDS0-D0N; 4:DSI0-D0N; 5:PWM0-1; 14:PD-EINT1
B25,PD3,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,221,,2:LCD0-D5; 3:LVDS0-D1N; 4:DSI0-D1N; 5:PWM0-3; 14:PD-EINT3
B26,PD5,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,223,,2:LCD0-D7; 3:LVDS0-D2N; 4:DSI0-CKN; 5:PWM0-5; 14:PD-EINT5
B27,PD7,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,225,,2:LCD0-D11; 3:LVDS0-CKN; 4:DSI0-D2N; 5:PWM0-7; 14:PD-EINT7
B28,PD9,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,227,,2:LCD0-D13; 3:LVDS0-D3N; 4:DSI0-D3N; 5:PWM0-9; 14:PD-EINT9
B29,GND,G,power_in,L,Digital ground 1,Ground,N/A,395,,
C1,PK13,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,322,,2:MCSIC-D0P; 3:UART7-RX; 4:TWI4-SDA; 5:NCSI-MCLK; 14:PK-EINT13
C2,PK12,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,321,,2:MCSIC-D0N; 3:UART7-TX; 4:TWI4-SCK; 5:NCSI-PCLK; 14:PK-EINT12
C3,GND,G,power_in,L,Digital ground 1,Ground,N/A,396,,
C4,PK7,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,316,,2:MCSIB-D0P; 14:PK-EINT7
C5,PK6,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,315,,2:MCSIB-D0N; 14:PK-EINT6
C6,GND,G,power_in,L,Digital ground 1,Ground,N/A,397,,
C7,PH12,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,300,,2:DMIC-DATA3; 3:TWI3-SCK; 4:I2S2-DIN0; 5:I2S2-DOUT1; 6:PCIE0-WAKEN; 14:PH-EINT12
C8,GND,G,power_in,L,Digital ground 1,Ground,N/A,398,,
C9,PH6,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,294,,2:UART3-RTS; 3:SPI1-MOSI; 4:OWA-IN; 5:RGMII0-TXCK/RMII0-TXCK; 14:PH-EINT6
C10,GND,G,power_in,L,Digital ground 1,Ground,N/A,399,,
C11,PF4,I/O,bidirectional,D,GPIO B / C / F,Port F,VCC-IO/VCC-MCSI,267,,2:SDC0-D3; 3:UART0-RX; 5:I2S3-DIN3; 6:I2S3-DOUT3; 14:PF-EINT4
C12,PF6,I/O,bidirectional,D,GPIO B / C / F,Port F,VCC-IO/VCC-MCSI,269,,5:I2S3-MCLK; 14:PF-EINT6
C13,PF0,I/O,bidirectional,D,GPIO B / C / F,Port F,VCC-IO/VCC-MCSI,263,,2:SDC0-D1; 3:JTAG-MS; 5:I2S3-DIN0; 6:I2S3-DOUT1; 14:PF-EINT0
C14,PCIE-REF-CLKN,A I/O,input,H,USB / PCIe,PCIe2.1&USB3.1 DRD,VCC18-PCIE,117,,
C15,PCIE-TX0-DN/USB3-TXN,AO,output,H,USB / PCIe,PCIe2.1&USB3.1 DRD,VCC18-PCIE,122,,
C16,AVSS,G,power_in,N,Analog ground,Ground,N/A,376,,
C17,USB2-DM,A I/O,bidirectional,H,USB / PCIe,PCIe2.1&USB3.1 DRD,VCC33-USB-2,114,Supply spelling: VCC33-UAB-2 -> VCC33-USB-2,
C18,AVSS,G,power_in,N,Analog ground,Ground,N/A,377,,
C19,EDP-TX0N,AO,output,I,eDP,eDP1.3,VCC18-EDP,133,,
C20,AVSS,G,power_in,N,Analog ground,Ground,N/A,378,,
C21,EDP-TX2N,AO,output,I,eDP,eDP1.3,VCC18-EDP,137,,
C22,AVSS,G,power_in,N,Analog ground,Ground,N/A,379,,
C23,EDP-AUXN,A I/O,bidirectional,I,eDP,eDP1.3,VCC18-EDP,129,,
C24,GND,G,power_in,L,Digital ground 1,Ground,N/A,400,,
C25,GND,G,power_in,L,Digital ground 1,Ground,N/A,401,,
C26,GND,G,power_in,L,Digital ground 1,Ground,N/A,402,,
C27,GND,G,power_in,L,Digital ground 1,Ground,N/A,403,,
C28,PD10,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,228,,2:LCD0-D14; 3:LVDS1-D0P; 4:DSI1-D0P; 5:PWM0-10; 6:SPI1-CS0/DBI-CSX; 14:PD-EINT10
C29,PD11,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,229,,2:LCD0-D15; 3:LVDS1-D0N; 4:DSI1-D0N; 5:PWM0-11; 6:SPI1-CLK/DBI-SCLK; 14:PD-EINT11
D1,PK15,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,324,,2:MCSIC-D1P; 3:UART7-CTS; 4:UART5-CTS; 5:NCSI-VSYNC; 14:PK-EINT15
D2,PK14,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,323,,2:MCSIC-D1N; 3:UART7-RTS; 4:UART5-RTS; 5:NCSI-HSYNC; 14:PK-EINT14
D6,PH18,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,306,,2:IR-TX; 3:I2S3-DOUT2; 4:I2S3-DIN2; 5:RGMII0-TXD2/RMII0-NULL; 14:PH-EINT18
D8,PH9,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,297,,2:DMIC-DATA0; 3:SPI2-CLK; 4:I2S2-BCLK; 5:RGMII0-MDC; 14:PH-EINT9
D10,PH2,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,290,,2:TWI1-SCK; 4:I2S2-DIN3; 5:RGMII0-RXCTL/RMII0-CRS-DV; 6:I2S2-DOUT3; 14:PH-EINT2
D12,GND,G,power_in,L,Digital ground 1,Ground,N/A,404,,
D14,AVSS,G,power_in,N,Analog ground,Ground,N/A,380,,
D16,USB2-REXT,AO,output,H,USB / PCIe,PCIe2.1&USB3.1 DRD,VCC33-USB-2,115,Supply spelling: VCC33-UAB-2 -> VCC33-USB-2,
D18,USB1-REXT,AO,output,H,USB / PCIe,USB2.0 Host,VCC33-USB,111,,
D20,USB1-DP,A I/O,bidirectional,H,USB / PCIe,USB2.0 Host,VCC33-USB,109,,
D22,EDP-REXT,AO,output,I,eDP,eDP1.3,VCC18-EDP,131,,
D28,PD12,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,230,,2:LCD0-D18; 3:LVDS1-D1P; 4:DSI1-D1P; 5:PWM0-12; 6:SPI1-MOSI/DBI-SDO; 14:PD-EINT12
