part,pin,name,type,unit,x,y
AXP323,1,DCDC2,input,1,25.4,-38.1
AXP323,2,VIN3,power_in,1,-25.4,-60.96
AXP323,3,LX3,passive,1,25.4,-60.96
AXP323,4,DCDC3,input,1,25.4,-68.58
AXP323,5,SDA,bidirectional,1,-25.4,-96.52
AXP323,6,SCL,bidirectional,1,-25.4,-101.6
AXP323,7,RTCLDO,power_out,1,25.4,-101.6
AXP323,8,VREF,passive,1,25.4,-111.76
AXP323,9,GND,power_in,1,-25.4,-106.68
AXP323,10,NC,no_connect,1,-25.4,-111.76
AXP323,11,IRQ,bidirectional,1,-25.4,-91.44
AXP323,12,DLDO1,power_out,1,25.4,-91.44
AXP323,13,PWROK,bidirectional,1,-25.4,-86.36
AXP323,14,PWRON,input,1,-25.4,-81.28
AXP323,15,ALDO1,power_out,1,25.4,-81.28
AXP323,16,DCDC1,input,1,25.4,-7.62
AXP323,17,VIN1,power_in,1,-25.4,0.0
AXP323,18,LX1,passive,1,25.4,0.0
AXP323,19,LX2,passive,1,25.4,-30.48
AXP323,20,VIN2,power_in,1,-25.4,-30.48
AXP323,21,EP,power_in,1,-25.4,-109.22
AXP717C,1,PWROK,bidirectional,1,25.4,-48.26
AXP717C,2,DM,bidirectional,1,-25.4,-20.32
AXP717C,3,DP,bidirectional,1,-25.4,-22.86
AXP717C,4,CC1,bidirectional,1,-25.4,-27.94
AXP717C,5,CC2,bidirectional,1,-25.4,-30.48
AXP717C,6,PWRON,input,1,-25.4,-43.18
AXP717C,7,VREF,passive,1,25.4,-25.4
AXP717C,8,GND,power_in,1,25.4,-63.5
AXP717C,9,VIN1,power_in,2,-25.4,0.0
AXP717C,10,LX1,passive,2,25.4,0.0
AXP717C,11,LX1,passive,2,25.4,-2.54
AXP717C,12,FB1,input,2,25.4,-7.62
AXP717C,13,ALDO1,power_out,3,25.4,0.0
AXP717C,14,ALDO2,power_out,3,25.4,-10.16
AXP717C,15,ALDOIN,power_in,3,-25.4,0.0
AXP717C,16,ALDO3,power_out,3,25.4,-20.32
AXP717C,17,ALDO4,power_out,3,25.4,-30.48
AXP717C,18,BLDO1,power_out,3,25.4,-40.64
AXP717C,19,BLDO2,power_out,3,25.4,-50.8
AXP717C,20,BLDOIN,power_in,3,-25.4,-40.64
AXP717C,21,BLDO3,power_out,3,25.4,-60.96
AXP717C,22,BLDO4,power_out,3,25.4,-71.12
AXP717C,23,CLDO1,power_out,3,25.4,-81.28
AXP717C,24,CLDO2,power_out,3,25.4,-91.44
AXP717C,25,CLDOIN,power_in,3,-25.4,-81.28
AXP717C,26,CLDO3,power_out,3,25.4,-101.6
AXP717C,27,CLDO4,power_out,3,25.4,-111.76
AXP717C,28,CPUSLDO,power_out,3,25.4,-121.92
AXP717C,29,FB3,power_in,2,25.4,-68.58
AXP717C,30,LX3,passive,2,25.4,-60.96
AXP717C,31,VIN3,power_in,2,-25.4,-60.96
AXP717C,32,VIN2,power_in,2,-25.4,-30.48
AXP717C,33,LX2,passive,2,25.4,-30.48
AXP717C,34,FB2,input,2,25.4,-38.1
AXP717C,35,VRTC,power_out,1,25.4,-38.1
AXP717C,36,BACKUP,passive,1,25.4,-43.18
AXP717C,37,IRQ,open_collector,1,25.4,-50.8
AXP717C,38,CHGLED,open_collector,1,25.4,-53.34
AXP717C,39,TS,input,1,-25.4,-48.26
AXP717C,40,DCDCEN,output,1,25.4,-58.42
AXP717C,41,BAT,passive,1,-25.4,-10.16
AXP717C,42,BAT,passive,1,-25.4,-12.7
AXP717C,43,VSYS,power_out,1,25.4,-15.24
AXP717C,44,VSYS,passive,1,25.4,-17.78
AXP717C,45,SW,passive,1,25.4,-7.62
AXP717C,46,SW,passive,1,25.4,-10.16
AXP717C,47,VMID,power_out,1,25.4,0.0
AXP717C,48,VMID,passive,1,25.4,-2.54
AXP717C,49,VBUS,power_in,1,-25.4,0.0
AXP717C,50,VBUS,power_in,1,-25.4,-2.54
AXP717C,51,SDA,bidirectional,1,-25.4,-35.56
AXP717C,52,SCK,input,1,-25.4,-38.1
AXP717C,53,EP,power_in,1,25.4,-66.04
