ball,name,type,unit
A1,DNU,no_connect,6
A2,DNU,no_connect,6
A3,VSS,power_in,5
A4,VDD2,power_in,4
A5,ZQ,passive,3
A8,NC,no_connect,6
A9,VDD2,power_in,4
A10,VSS,power_in,5
A11,DNU,no_connect,6
A12,DNU,no_connect,6
B1,DNU,no_connect,6
B2,DQ0_a,bidirectional,1
B3,VDDQ,power_in,4
B4,DQ7_a,bidirectional,1
B5,VDDQ,power_in,4
B8,VDDQ,power_in,4
B9,DQ15_a,bidirectional,1
B10,VDDQ,power_in,4
B11,DQ8_a,bidirectional,1
B12,DNU,no_connect,6
C1,VSS,power_in,5
C2,DQ1_a,bidirectional,1
C3,DMI0_a,bidirectional,1
C4,DQ6_a,bidirectional,1
C5,VSS,power_in,5
C8,VSS,power_in,5
C9,DQ14_a,bidirectional,1
C10,DMI1_a,bidirectional,1
C11,DQ9_a,bidirectional,1
C12,VSS,power_in,5
D1,VDDQ,power_in,4
D2,VSS,power_in,5
D3,DQS_P0_a,bidirectional,1
D4,VSS,power_in,5
D5,VDDQ,power_in,4
D8,VDDQ,power_in,4
D9,VSS,power_in,5
D10,DQS_P1_a,bidirectional,1
D11,VSS,power_in,5
D12,VDDQ,power_in,4
E1,VSS,power_in,5
E2,DQ2_a,bidirectional,1
E3,DQS_N0_a,bidirectional,1
E4,DQ5_a,bidirectional,1
E5,VSS,power_in,5
E8,VSS,power_in,5
E9,DQ13_a,bidirectional,1
E10,DQS_N1_a,bidirectional,1
E11,DQ10_a,bidirectional,1
E12,VSS,power_in,5
F1,VDD1,power_in,4
F2,DQ3_a,bidirectional,1
F3,VDDQ,power_in,4
F4,DQ4_a,bidirectional,1
F5,VDD2,power_in,4
F8,VDD2,power_in,4
F9,DQ12_a,bidirectional,1
F10,VDDQ,power_in,4
F11,DQ11_a,bidirectional,1
F12,VDD1,power_in,4
G1,VSS,power_in,5
G2,ODT_CA_a,input,3
G3,VSS,power_in,5
G4,VDD1,power_in,4
G5,VSS,power_in,5
G8,VSS,power_in,5
G9,VDD1,power_in,4
G10,VSS,power_in,5
G11,NC,no_connect,6
G12,VSS,power_in,5
H1,VDD2,power_in,4
H2,CA0_a,input,3
H3,NC,no_connect,6
H4,CS_a,input,3
H5,VDD2,power_in,4
H8,VDD2,power_in,4
H9,CA2_a,input,3
H10,CA3_a,input,3
H11,CA4_a,input,3
H12,VDD2,power_in,4
J1,VSS,power_in,5
J2,CA1_a,input,3
J3,VSS,power_in,5
J4,CKE_a,input,3
J5,NC,no_connect,6
J8,CK_P_a,input,3
J9,CK_N_a,input,3
J10,VSS,power_in,5
J11,CA5_a,input,3
J12,VSS,power_in,5
K1,VDD2,power_in,4
K2,VSS,power_in,5
K3,VDD2,power_in,4
K4,VSS,power_in,5
K5,NC,no_connect,6
K8,NC,no_connect,6
K9,VSS,power_in,5
K10,VDD2,power_in,4
K11,VSS,power_in,5
K12,VDD2,power_in,4
N1,VDD2,power_in,4
N2,VSS,power_in,5
N3,VDD2,power_in,4
N4,VSS,power_in,5
N5,NC,no_connect,6
N8,NC,no_connect,6
N9,VSS,power_in,5
